"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 18 ending May 07, 2022"	"2022/18"	21	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 19 ending May 14, 2022"	"2022/19"	15	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 20 ending May 21, 2022"	"2022/20"	16	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 21 ending May 28, 2022"	"2022/21"	21	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 22 ending June 04, 2022"	"2022/22"	26	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 23 ending June 11, 2022"	"2022/23"	17	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 24 ending June 18, 2022"	"2022/24"	22	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 25 ending June 25, 2022"	"2022/25"	22	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 26 ending July 02, 2022"	"2022/26"	14	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 27 ending July 09, 2022"	"2022/27"	24	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 28 ending July 16, 2022"	"2022/28"	16	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 29 ending July 23, 2022"	"2022/29"	21	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 30 ending July 30, 2022"	"2022/30"	18	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 31 ending August 06, 2022"	"2022/31"	19	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 32 ending August 13, 2022"	"2022/32"	12	Not Applicable	Not Applicable
