Residence State,Five-Year Age Groups,Five-Year Age Groups Code,MMWR Week Code,Deaths
Pennsylvania,45-49 years,45-49,2024/04,47
Pennsylvania,45-49 years,45-49,2024/05,45
Pennsylvania,45-49 years,45-49,2024/06,41
Pennsylvania,45-49 years,45-49,2024/07,44
Pennsylvania,45-49 years,45-49,2024/08,52
Pennsylvania,45-49 years,45-49,2024/09,44
Pennsylvania,45-49 years,45-49,2024/10,42
Pennsylvania,45-49 years,45-49,2024/11,32
Pennsylvania,45-49 years,45-49,2024/12,49
Pennsylvania,45-49 years,45-49,2024/13,31
Pennsylvania,45-49 years,45-49,2024/14,46
Pennsylvania,45-49 years,45-49,2024/15,28
Pennsylvania,45-49 years,45-49,2024/16,28
Pennsylvania,45-49 years,45-49,2024/17,43
Pennsylvania,45-49 years,45-49,2024/18,28
Pennsylvania,45-49 years,45-49,2024/19,32
Pennsylvania,45-49 years,45-49,2024/20,37
Pennsylvania,45-49 years,45-49,2024/21,40
Pennsylvania,45-49 years,45-49,2024/22,32
Pennsylvania,45-49 years,45-49,2024/23,33
Pennsylvania,45-49 years,45-49,2024/24,41
Pennsylvania,45-49 years,45-49,2024/25,35
Pennsylvania,45-49 years,45-49,2024/26,46
Pennsylvania,45-49 years,45-49,2024/27,43
Pennsylvania,45-49 years,45-49,2024/28,45
Pennsylvania,45-49 years,45-49,2024/29,38
Pennsylvania,45-49 years,45-49,2024/30,53
Pennsylvania,45-49 years,45-49,2024/31,41
Pennsylvania,45-49 years,45-49,2024/32,39
Pennsylvania,45-49 years,45-49,2024/33,38
Pennsylvania,45-49 years,45-49,2024/34,34
Pennsylvania,45-49 years,45-49,2024/35,43
Pennsylvania,45-49 years,45-49,2024/36,40
Pennsylvania,45-49 years,45-49,2024/37,42
Pennsylvania,45-49 years,45-49,2024/38,39
Pennsylvania,45-49 years,45-49,2024/39,33
Pennsylvania,45-49 years,45-49,2024/40,31
Pennsylvania,45-49 years,45-49,2024/41,49
Pennsylvania,45-49 years,45-49,2024/42,38
Pennsylvania,45-49 years,45-49,2024/43,48
Pennsylvania,45-49 years,45-49,2024/44,43
