MMWR Week,MMWR Week Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
"2018 Week 39 ending September 29, 2018",2018/39,40-44 years,40-44,752,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,45-49 years,45-49,1163,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,50-54 years,50-54,1754,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,55-59 years,55-59,2852,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,60-64 years ,60-64,3802,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,65-69 years,65-69,4752,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,70-74 years,70-74,5314,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,75-79 years,75-79,5892,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,80-84 years,80-84,6293,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,85-89 years,85-89,6736,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,90-94 years,90-94,5639,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,95-99 years,95-99,2510,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,100+ years,100+,532,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,< 1 year,1,420,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,1-4 years,1-4,62,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,5-9 years,5-9,39,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,10-14 years,10-14,61,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,15-19 years,15-19,201,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,20-24 years,20-24,392,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,25-29 years,25-29,536,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,30-34 years,30-34,618,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,35-39 years,35-39,677,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,40-44 years,40-44,866,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,45-49 years,45-49,1176,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,50-54 years,50-54,1810,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,55-59 years,55-59,2971,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,60-64 years ,60-64,4038,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,65-69 years,65-69,4742,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,70-74 years,70-74,5437,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,75-79 years,75-79,6032,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,80-84 years,80-84,6521,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,85-89 years,85-89,6915,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,90-94 years,90-94,5684,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,95-99 years,95-99,2577,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,100+ years,100+,578,Not Applicable,Not Applicable
"2018 Week 40 ending October 06, 2018",2018/40,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,< 1 year,1,411,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,1-4 years,1-4,70,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,5-9 years,5-9,43,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,10-14 years,10-14,67,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,15-19 years,15-19,185,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,20-24 years,20-24,411,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,25-29 years,25-29,530,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,30-34 years,30-34,527,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,35-39 years,35-39,727,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,40-44 years,40-44,778,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,45-49 years,45-49,1215,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,50-54 years,50-54,1839,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,55-59 years,55-59,3017,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,60-64 years ,60-64,3977,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,65-69 years,65-69,4694,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,70-74 years,70-74,5361,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,75-79 years,75-79,5867,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,80-84 years,80-84,6312,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,85-89 years,85-89,6911,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,90-94 years,90-94,5800,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,95-99 years,95-99,2537,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,100+ years,100+,568,Not Applicable,Not Applicable
"2018 Week 41 ending October 13, 2018",2018/41,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,< 1 year,1,431,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,1-4 years,1-4,62,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,5-9 years,5-9,48,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,10-14 years,10-14,60,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,15-19 years,15-19,204,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,20-24 years,20-24,368,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,25-29 years,25-29,499,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,30-34 years,30-34,626,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,35-39 years,35-39,689,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,40-44 years,40-44,798,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,45-49 years,45-49,1168,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,50-54 years,50-54,1825,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,55-59 years,55-59,3039,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,60-64 years ,60-64,3951,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,65-69 years,65-69,4665,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,70-74 years,70-74,5591,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,75-79 years,75-79,6146,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,80-84 years,80-84,6635,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,85-89 years,85-89,7044,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,90-94 years,90-94,5913,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,95-99 years,95-99,2666,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,100+ years,100+,546,Not Applicable,Not Applicable
"2018 Week 42 ending October 20, 2018",2018/42,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,< 1 year,1,424,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,1-4 years,1-4,63,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,5-9 years,5-9,33,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,10-14 years,10-14,51,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,15-19 years,15-19,208,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,20-24 years,20-24,386,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,25-29 years,25-29,525,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,30-34 years,30-34,603,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,35-39 years,35-39,669,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,40-44 years,40-44,811,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,45-49 years,45-49,1239,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,50-54 years,50-54,1929,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,55-59 years,55-59,2937,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,60-64 years ,60-64,4044,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,65-69 years,65-69,4658,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,70-74 years,70-74,5665,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,75-79 years,75-79,6343,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,80-84 years,80-84,6681,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,85-89 years,85-89,7136,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,90-94 years,90-94,6021,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,95-99 years,95-99,2772,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,100+ years,100+,560,Not Applicable,Not Applicable
"2018 Week 43 ending October 27, 2018",2018/43,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,< 1 year,1,421,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,1-4 years,1-4,62,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,5-9 years,5-9,41,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,10-14 years,10-14,60,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,15-19 years,15-19,198,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,20-24 years,20-24,383,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,25-29 years,25-29,512,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,30-34 years,30-34,625,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,35-39 years,35-39,761,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,40-44 years,40-44,844,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,45-49 years,45-49,1214,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,50-54 years,50-54,1817,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,55-59 years,55-59,2907,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,60-64 years ,60-64,4023,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,65-69 years,65-69,4786,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,70-74 years,70-74,5464,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,75-79 years,75-79,6068,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,80-84 years,80-84,6648,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,85-89 years,85-89,7489,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,90-94 years,90-94,5986,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,95-99 years,95-99,2744,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,100+ years,100+,580,Not Applicable,Not Applicable
"2018 Week 44 ending November 03, 2018",2018/44,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,< 1 year,1,406,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,1-4 years,1-4,79,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,5-9 years,5-9,39,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,10-14 years,10-14,52,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,15-19 years,15-19,214,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,20-24 years,20-24,378,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,25-29 years,25-29,516,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,30-34 years,30-34,555,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,35-39 years,35-39,709,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,40-44 years,40-44,799,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,45-49 years,45-49,1226,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,50-54 years,50-54,1770,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,55-59 years,55-59,3022,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,60-64 years ,60-64,4131,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,65-69 years,65-69,4776,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,70-74 years,70-74,5501,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,75-79 years,75-79,6252,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,80-84 years,80-84,6683,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,85-89 years,85-89,7161,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,90-94 years,90-94,5927,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,95-99 years,95-99,2772,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,100+ years,100+,591,Not Applicable,Not Applicable
"2018 Week 45 ending November 10, 2018",2018/45,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,< 1 year,1,416,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,1-4 years,1-4,74,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,5-9 years,5-9,46,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,10-14 years,10-14,53,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,15-19 years,15-19,193,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,20-24 years,20-24,341,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,25-29 years,25-29,539,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,30-34 years,30-34,587,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,35-39 years,35-39,713,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,40-44 years,40-44,811,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,45-49 years,45-49,1163,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,50-54 years,50-54,1888,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,55-59 years,55-59,3106,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,60-64 years ,60-64,4210,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,65-69 years,65-69,4881,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,70-74 years,70-74,5668,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,75-79 years,75-79,6279,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,80-84 years,80-84,6871,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,85-89 years,85-89,7457,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,90-94 years,90-94,6108,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,95-99 years,95-99,2763,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,100+ years,100+,529,Not Applicable,Not Applicable
"2018 Week 46 ending November 17, 2018",2018/46,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 47 ending November 24, 2018",2018/47,< 1 year,1,382,Not Applicable,Not Applicable
"2018 Week 47 ending November 24, 2018",2018/47,1-4 years,1-4,67,Not Applicable,Not Applicable
"2018 Week 47 ending November 24, 2018",2018/47,5-9 years,5-9,39,Not Applicable,Not Applicable
"2018 Week 47 ending November 24, 2018",2018/47,10-14 years,10-14,56,Not Applicable,Not Applicable
"2018 Week 47 ending November 24, 2018",2018/47,15-19 years,15-19,185,Not Applicable,Not Applicable
