MMWR Week,MMWR Week Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
"2018 Week 08 ending February 24, 2018",2018/08,90-94 years,90-94,6745,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,95-99 years,95-99,3164,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,100+ years,100+,690,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,< 1 year,1,394,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,1-4 years,1-4,79,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,5-9 years,5-9,49,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,10-14 years,10-14,57,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,15-19 years,15-19,175,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,20-24 years,20-24,396,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,25-29 years,25-29,543,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,30-34 years,30-34,604,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,35-39 years,35-39,751,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,40-44 years,40-44,842,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,45-49 years,45-49,1252,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,50-54 years,50-54,2040,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,55-59 years,55-59,3186,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,60-64 years ,60-64,4214,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,65-69 years,65-69,4989,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,70-74 years,70-74,5760,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,75-79 years,75-79,6533,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,80-84 years,80-84,7009,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,85-89 years,85-89,7792,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,90-94 years,90-94,6558,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,95-99 years,95-99,2891,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,100+ years,100+,577,Not Applicable,Not Applicable
"2018 Week 09 ending March 03, 2018",2018/09,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,< 1 year,1,440,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,1-4 years,1-4,74,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,5-9 years,5-9,54,Not Applicable,Not Applicable
