"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 40 ending October 09, 2021"	"2021/40"	78	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 41 ending October 16, 2021"	"2021/41"	69	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 42 ending October 23, 2021"	"2021/42"	58	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 43 ending October 30, 2021"	"2021/43"	59	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 44 ending November 06, 2021"	"2021/44"	56	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 45 ending November 13, 2021"	"2021/45"	69	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 46 ending November 20, 2021"	"2021/46"	56	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 47 ending November 27, 2021"	"2021/47"	59	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 48 ending December 04, 2021"	"2021/48"	67	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 49 ending December 11, 2021"	"2021/49"	64	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 50 ending December 18, 2021"	"2021/50"	70	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 51 ending December 25, 2021"	"2021/51"	75	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 52 ending January 01, 2022"	"2021/52"	70	Not Applicable	Not Applicable
	"Maryland"	"24"	"60-64 years "	"60-64"	"2021 Week 01 ending January 09, 2021"	"2021/01"	99	Not Applicable	Not Applicable
	"Maryland"	"24"	"60-64 years "	"60-64"	"2021 Week 02 ending January 16, 2021"	"2021/02"	109	Not Applicable	Not Applicable
	"Maryland"	"24"	"60-64 years "	"60-64"	"2021 Week 03 ending January 23, 2021"	"2021/03"	93	Not Applicable	Not Applicable
	"Maryland"	"24"	"60-64 years "	"60-64"	"2021 Week 04 ending January 30, 2021"	"2021/04"	89	Not Applicable	Not Applicable
	"Maryland"	"24"	"60-64 years "	"60-64"	"2021 Week 05 ending February 06, 2021"	"2021/05"	104	Not Applicable	Not Applicable
	"Maryland"	"24"	"60-64 years "	"60-64"	"2021 Week 06 ending February 13, 2021"	"2021/06"	97	Not Applicable	Not Applicable
	"Maryland"	"24"	"60-64 years "	"60-64"	"2021 Week 07 ending February 20, 2021"	"2021/07"	86	Not Applicable	Not Applicable
	"Maryland"	"24"	"60-64 years "	"60-64"	"2021 Week 08 ending February 27, 2021"	"2021/08"	92	Not Applicable	Not Applicable
	"Maryland"	"24"	"60-64 years "	"60-64"	"2021 Week 09 ending March 06, 2021"	"2021/09"	104	Not Applicable	Not Applicable
	"Maryland"	"24"	"60-64 years "	"60-64"	"2021 Week 10 ending March 13, 2021"	"2021/10"	102	Not Applicable	Not Applicable
	"Maryland"	"24"	"60-64 years "	"60-64"	"2021 Week 11 ending March 20, 2021"	"2021/11"	93	Not Applicable	Not Applicable
	"Maryland"	"24"	"60-64 years "	"60-64"	"2021 Week 12 ending March 27, 2021"	"2021/12"	102	Not Applicable	Not Applicable
	"Maryland"	"24"	"60-64 years "	"60-64"	"2021 Week 13 ending April 03, 2021"	"2021/13"	86	Not Applicable	Not Applicable
	"Maryland"	"24"	"60-64 years "	"60-64"	"2021 Week 14 ending April 10, 2021"	"2021/14"	97	Not Applicable	Not Applicable
