Strike ID,Date,Location,Province,Type of attack,Confirmed/possible US attack?,Air operation?,Drone strike,Minimum number of strikes,Maximum number of strikes,Minimum people killed,Maximum people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum people injured,Maximum people injured,Strike link,
YEM201,29/07/2015,Wadi Dikha,Abyan,US drone strike,Confirmed,1,1,1,1,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM201,
YEM202,12/08/15,Mukalla-Rukob road,Hadramout,US drone strike,Confirmed,1,1,1,1,5,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM202,
YEM203,21/08/2015,Harib,Marib,"Airstrike, Possible US drone strike",Possible,1,1,1,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM203,
YEM204,23/08/2015,Mukalla,Hadaramout,US drone strike,Confirmed,1,1,1,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM204,
YEM205,26/08/2015,Mukalla,Hadramout,US drone strike,Confirmed,1,1,1,1,5,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM205,
YEM206,09/09/15,Mukalla,Hadramout,US drone strike,Confirmed,1,1,1,1,3,6,0,4,0,0,2,2,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM206,
YEM207,11/09/15,Unknown,Jawf-Mareb border,"Airstrike, Possible US drone strike",Possible,1,1,1,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM207,
YEM208,12/09/15,Mukalla,Hadramout,US drone strike,Confirmed,1,1,1,1,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM208,
YEM209,21/09/2015,Marib city,Marib,"Airstrike, Possible US drone strike",Possible,1,1,1,1,2,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM209,
YEM210,22/12/2015,Nata district,Bayda-Shabwa border,US drone strike,Confirmed,1,1,1,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM210,
YEM211,15/01/2016,Rafadh,Shabwa,US drone strike,Confirmed,1,1,1,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM211,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#
YEM212,19/01/2016,Sayoun,Hadramout,US drone strike,Confirmed,1,1,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM212,
YEM213,03/02/16,Rawda city,Shabwa,US drone strike,Confirmed,1,1,1,1,6,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM213,
YEM214,03/02/16,Maraquesha,Abyan,US drone strike,Confirmed,1,1,1,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM214,
YEM215,15/02/2016,Huta,Lahij,"Airstrike, Possible US drone strike",Possible,1,1,1,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM215,
YEM216,29/02/2016,Unknown,Hadramout,US drone or air strike,Confirmed,1,1,1,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM216,
YEM217,04/03/16,Radhum,Shabwa,US drone strike,Confirmed,1,1,1,1,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM217,
YEM218,22/03/2016,Hajr (75km W of Mukalla),Hadramout,US air strike,Confirmed,1,0,1,1,50,71,0,0,0,0,28,30,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM218,
YEM219,26/03/2016,Al Hudhn and Naqeel al Hayala villages,Abyan,"Airstrike, Possible US drone strike",Possible,1,1,2,2,8,8,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM219,
